"sample","bix","sample","b","t","a","m","c","sample","fi","sample","fi"
"B1S10S10",0.664935466862615,"B1S10S10",258.312897688938,540.735909243114,3139.77186069678,2242.8561828304,2395.30205671763,"B1S10S10",1.16840958656601,"B1S10S10",1.16840958656601
"B1S11S11",0.930151109575791,"B1S11S11",154.203822598638,116.762298106099,202.576730158966,144.533099271706,132.989045946277,"B1S11S11",1.45355609491573,"B1S11S11",1.45355609491573
"B1S12S12",0.876065033100329,"B1S12S12",1197.89041786072,1746.59020246711,622.687296357602,461.778262036125,408.971413725187,"B1S12S12",1.58601974596578,"B1S12S12",1.58601974596578
"B1S13S13",0.703676665233297,"B1S13S13",151.418191927771,286.403154235886,1707.91197587608,1185.94453437271,1150.93440155976,"B1S13S13",1.19620266973337,"B1S13S13",1.19620266973337
"B1S14S14",0.6451246850292,"B1S14S14",223.801876320933,435.777082080254,2641.03273027064,1902.70878996097,1919.28337314729,"B1S14S14",1.16781673407108,"B1S14S14",1.16781673407108
"B1S15S15",0.847983533098241,"B1S15S15",74.2488873660941,62.8619711118226,265.26521796349,178.140548647385,167.004660713457,"B1S15S15",1.35266232499202,"B1S15S15",1.35266232499202
"B1S1S1",0,"B1S1S1",0,0,12.4404678533756,1.44362881411507,5.8057187365921,"B1S1S1",1.80270103329614,"B1S1S1",1.80270103329614
"B1S2S2",0,"B1S2S2",0,0,15.8767010899101,0.689329364868172,4.44673982005406,"B1S2S2",3.53379944998407,"B1S2S2",3.53379944998407
"B1S3S3",0,"B1S3S3",0,0,16.5644712063659,0,4.42288155527058,"B1S3S3",10.0681941695595,"B1S3S3",10.0681941695595
"B1S4S4",0.819308011486673,"B1S4S4",391.71447455469,551.597346779134,1325.04696540226,1019.58218571049,981.666749456723,"B1S4S4",1.28718514126025,"B1S4S4",1.28718514126025
"B1S5S5",0.81390392816495,"B1S5S5",285.772963019837,415.297090357327,1124.62115812092,841.975951928558,783.704973983637,"B1S5S5",1.2749377445648,"B1S5S5",1.2749377445648
"B1S6S6",0.499503709369621,"B1S6S6",0,87.211469326634,3234.51815471769,3993.41380728327,6800.47397819569,"B1S6S6",1.05089251570476,"B1S6S6",1.05089251570476
"B1S7S7",0.660395742580189,"B1S7S7",181.198404053353,384.338023040778,2619.41567668226,1834.67357187275,1900.06002843392,"B1S7S7",1.16698891370894,"B1S7S7",1.16698891370894
"B1S8S8",0.667622915388743,"B1S8S8",276.863961698673,586.694065682881,3413.47208671679,2616.40376923367,2825.90450988285,"B1S8S8",1.18294970750508,"B1S8S8",1.18294970750508
"B1S9S9",0.541422080354297,"B1S9S9",77.5371223704982,326.448250948684,4451.88504715927,5269.33626709413,7448.42160839145,"B1S9S9",1.07781169440713,"B1S9S9",1.07781169440713
"B1S10SPB04No27",0.551026516862998,"B1S10SPB04No27",317.646703783477,936.011820170912,8016.81749670394,6989.78306400566,8833.85797569187,"B1S10SPB04No27",1.07630483469992,"B1S10SPB04No27",1.07630483469992
"B1S11SPB04No44",0.604838412800509,"B1S11SPB04No44",442.631115218963,935.243097792089,4277.16376975365,3557.45800556883,4229.61198154639,"B1S11SPB04No44",1.13878796483188,"B1S11SPB04No44",1.13878796483188
"B1S12SPB04No01",0.924600594299862,"B1S12SPB04No01",160.533112658888,135.645287630497,262.717808757712,177.079349658947,171.36337880561,"B1S12SPB04No01",1.31444126933958,"B1S12SPB04No01",1.31444126933958
"B1S15SPB04No29",0.573236815582158,"B1S15SPB04No29",222.734216251927,733.954216254293,5599.75355729078,5623.82079278631,7171.30201109173,"B1S15SPB04No29",1.11440952969645,"B1S15SPB04No29",1.11440952969645
