sample,eem_location,abs_location,dilution
B1S10S10,/Users/prime/gdrive/Aqualog/Aqualog_Scripts/process_aqualog_data//eem/20190408_Group1,NA,1
B1S11S11,/Users/prime/gdrive/Aqualog/Aqualog_Scripts/process_aqualog_data//eem/20190408_Group1,NA,1
B1S12S12,/Users/prime/gdrive/Aqualog/Aqualog_Scripts/process_aqualog_data//eem/20190408_Group1,NA,1
B1S13S13,/Users/prime/gdrive/Aqualog/Aqualog_Scripts/process_aqualog_data//eem/20190408_Group1,NA,1
B1S14S14,/Users/prime/gdrive/Aqualog/Aqualog_Scripts/process_aqualog_data//eem/20190408_Group1,NA,1
B1S15S15,/Users/prime/gdrive/Aqualog/Aqualog_Scripts/process_aqualog_data//eem/20190408_Group1,NA,1
B1S1S1,/Users/prime/gdrive/Aqualog/Aqualog_Scripts/process_aqualog_data//eem/20190408_Group1,NA,1
B1S2S2,/Users/prime/gdrive/Aqualog/Aqualog_Scripts/process_aqualog_data//eem/20190408_Group1,NA,1
B1S3S3,/Users/prime/gdrive/Aqualog/Aqualog_Scripts/process_aqualog_data//eem/20190408_Group1,NA,1
B1S4S4,/Users/prime/gdrive/Aqualog/Aqualog_Scripts/process_aqualog_data//eem/20190408_Group1,NA,1
B1S5S5,/Users/prime/gdrive/Aqualog/Aqualog_Scripts/process_aqualog_data//eem/20190408_Group1,NA,1
B1S6S6,/Users/prime/gdrive/Aqualog/Aqualog_Scripts/process_aqualog_data//eem/20190408_Group1,NA,1
B1S7S7,/Users/prime/gdrive/Aqualog/Aqualog_Scripts/process_aqualog_data//eem/20190408_Group1,NA,1
B1S8S8,/Users/prime/gdrive/Aqualog/Aqualog_Scripts/process_aqualog_data//eem/20190408_Group1,NA,1
B1S9S9,/Users/prime/gdrive/Aqualog/Aqualog_Scripts/process_aqualog_data//eem/20190408_Group1,NA,1
B1S10SPB04No27,/Users/prime/gdrive/Aqualog/Aqualog_Scripts/process_aqualog_data//eem/20190408_Group2,NA,2
B1S11SPB04No44,/Users/prime/gdrive/Aqualog/Aqualog_Scripts/process_aqualog_data//eem/20190408_Group2,NA,1
B1S12SPB04No01,/Users/prime/gdrive/Aqualog/Aqualog_Scripts/process_aqualog_data//eem/20190408_Group2,NA,1
B1S13SPB04No28,/Users/prime/gdrive/Aqualog/Aqualog_Scripts/process_aqualog_data//eem/20190408_Group2,NA,1
B1S14SPB04No33,/Users/prime/gdrive/Aqualog/Aqualog_Scripts/process_aqualog_data//eem/20190408_Group2,NA,1
B1S15SPB04No29,/Users/prime/gdrive/Aqualog/Aqualog_Scripts/process_aqualog_data//eem/20190408_Group2,NA,1
B1S16SPB04No03,/Users/prime/gdrive/Aqualog/Aqualog_Scripts/process_aqualog_data//eem/20190408_Group2,NA,1
B1S17SPB04No30,/Users/prime/gdrive/Aqualog/Aqualog_Scripts/process_aqualog_data//eem/20190408_Group2,NA,1
B1S18SPB04No42,/Users/prime/gdrive/Aqualog/Aqualog_Scripts/process_aqualog_data//eem/20190408_Group2,NA,2
B1S19SPB04No32,/Users/prime/gdrive/Aqualog/Aqualog_Scripts/process_aqualog_data//eem/20190408_Group2,NA,1
B1S1SPB04No04halfconc,/Users/prime/gdrive/Aqualog/Aqualog_Scripts/process_aqualog_data//eem/20190408_Group2,NA,2
B1S20SPB04No20,/Users/prime/gdrive/Aqualog/Aqualog_Scripts/process_aqualog_data//eem/20190408_Group2,NA,1
B1S21SPB04No46,/Users/prime/gdrive/Aqualog/Aqualog_Scripts/process_aqualog_data//eem/20190408_Group2,NA,3.3333333
B1S22SPB04No26,/Users/prime/gdrive/Aqualog/Aqualog_Scripts/process_aqualog_data//eem/20190408_Group2,NA,1
B1S23SPB04No45,/Users/prime/gdrive/Aqualog/Aqualog_Scripts/process_aqualog_data//eem/20190408_Group2,NA,3.3333333
B1S24SPB05No01,/Users/prime/gdrive/Aqualog/Aqualog_Scripts/process_aqualog_data//eem/20190408_Group2,NA,1
B1S25SPB05No03,/Users/prime/gdrive/Aqualog/Aqualog_Scripts/process_aqualog_data//eem/20190408_Group2,NA,3.3333333
B1S26SPB05No04,/Users/prime/gdrive/Aqualog/Aqualog_Scripts/process_aqualog_data//eem/20190408_Group2,NA,3.3333333
B1S27SPB05No05,/Users/prime/gdrive/Aqualog/Aqualog_Scripts/process_aqualog_data//eem/20190408_Group2,NA,3.3333333
B1S28SP 2800 20190402,/Users/prime/gdrive/Aqualog/Aqualog_Scripts/process_aqualog_data//eem/20190408_Group2,NA,1
B1S29SP 1000 20190403,/Users/prime/gdrive/Aqualog/Aqualog_Scripts/process_aqualog_data//eem/20190408_Group2,NA,3.3333333
